X,Y
19.9668,0.000176255
19.9665,0.000178043
19.9661,0.00017983
19.9658,0.000181616
19.9654,0.000183403
19.965,0.000185189
19.9647,0.000186974
19.9643,0.000188758
19.964,0.000190543
19.9636,0.000192328
19.9632,0.00019764
19.9629,0.000195894
19.9625,0.000197677
19.9622,0.000199459
19.9618,0.000201241
19.9614,0.000203022
19.9611,0.000204804
19.9607,0.000206584
19.9604,0.000218763
19.96,0.000213669
19.9596,0.000218973
19.9593,0.000213699
19.9589,0.000232928
19.9585,0.000217255
19.9582,0.000222558
19.9578,0.000220808
19.9575,0.000222584
19.9571,0.000231409
19.9567,0.000233184
19.9564,0.000227908
19.956,0.000229682
19.9557,0.000231456
19.9553,0.000233228
19.9549,0.000235001
19.9546,0.000236773
19.9542,0.000238544
19.9539,0.000240315
19.9535,0.000242085
19.9531,0.000247379
19.9528,0.000256198
19.9524,0.000247393
19.9521,0.00024916
19.9517,0.000250928
19.9513,0.000252695
19.951,0.000254462
19.9506,0.000259751
19.9503,0.000257993
19.9499,0.000259758
19.9495,0.000261522
19.9492,0.000270334
19.9488,0.000265049
19.9485,0.000266812
19.9481,0.000268574
19.9477,0.000270336
19.9474,0.000275622
19.947,0.000277382
19.9466,0.000275618
19.9463,0.000277377
19.9459,0.000279136
19.9456,0.000280895
19.9452,0.000282477
19.9448,0.00028441
19.9445,0.000286167
19.9441,0.000287923
19.9438,0.000289679
19.9434,0.000291434
19.943,0.000293189
19.9427,0.000294943
19.9423,0.000303744
19.942,0.000298449
19.9416,0.000300202
19.9412,0.000301953
19.9409,0.000303705
19.9405,0.000305456
19.9401,0.000317778
19.9398,0.000319353
19.9394,0.000310705
19.9391,0.000312454
19.9387,0.000314202
19.9384,0.00031595
19.938,0.00032122
19.9376,0.000319443
19.9373,0.000321189
19.9369,0.000322934
19.9366,0.000324678
19.9362,0.000326423
19.9358,0.000338737
19.9355,0.000329909
19.9351,0.000331652
19.9347,0.000333394
19.9344,0.000338659
19.934,0.000336876
19.9337,0.000345664
19.9333,0.000340356
19.9329,0.000342095
19.9326,0.000343834
19.9322,0.000345572
19.9319,0.00034731
19.9315,0.000349046
19.9311,0.000361354
19.9308,0.000352518
19.9304,0.000354254
19.9301,0.000355988
19.9297,0.000357723
19.9293,0.000359456
19.929,0.000361189
19.9286,0.000369969
19.9283,0.000364654
19.9279,0.000366385
19.9275,0.000368115
19.9272,0.000369846
19.9268,0.000371575
19.9265,0.000373304
19.9261,0.000385604
19.9257,0.000376761
19.9254,0.000378488
19.925,0.000380215
19.9247,0.000381941
19.9243,0.000383666
19.9239,0.000385391
19.9236,0.000387116
19.9232,0.00038884
19.9229,0.000390564
19.9225,0.000392286
19.9221,0.000404579
19.9218,0.00039573
19.9214,0.000397451
19.921,0.000399171
19.9207,0.000400891
19.9203,0.000402611
19.92,0.000404329
19.9196,0.000406048
19.9192,0.000407765
19.9189,0.000409482
19.9185,0.000414722
19.9182,0.000412915
19.9178,0.00041463
19.9174,0.000416345
19.9171,0.000418059
19.9167,0.000419772
19.9164,0.000421485
19.916,0.000423198
19.9157,0.000424739
19.9153,0.000433668
19.9149,0.000428332
19.9146,0.000430042
19.9142,0.000431751
19.9138,0.00043346
19.9135,0.000435169
19.9131,0.000443923
19.9127,0.000445631
19.9124,0.00044029
19.912,0.000441996
19.9117,0.000443702
19.9113,0.00044893
19.911,0.000447111
19.9106,0.000448815
19.9102,0.000450517
19.9099,0.00045222
19.9095,0.000453922
19.9092,0.000455623
19.9088,0.000457324
19.9084,0.000459024
19.9081,0.000460724
19.9077,0.000462423
19.9073,0.000467645
19.907,0.000469342
19.9066,0.000467516
19.9063,0.000469213
19.9059,0.000470909
19.9055,0.000472605
19.9052,0.000477823
19.9048,0.00048304
19.9045,0.000477687
19.9041,0.00047938
19.9037,0.000481073
